time_hrs,z_m,theta_smooth_K,U_smooth_m_s,Ri_g,zeta_BD,zeta_G07,C_const_G07,C_coord_G07,fold_ratio,kappa_G07,is_jet_nose
1555200.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1569600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1569600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1583999.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1583999.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1598400.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1598400.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1612800.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1612800.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1627200.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1627200.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1641600.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1641600.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1656000.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1656000.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1670400.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1670400.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1684800.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1684800.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
